"Terjemahan Lama"


"This Bible is in the Public Domain."

"Verse ID","Book Name","Book Number",Chapter,Verse,Text
1,Kejadian,1,1,1,"Bahwa pada mula pertama dijadikan Allah akan langit dan bumi."
2,Kejadian,1,1,2,"Maka bumi itu lagi campur baur adanya, yaitu suatu hal yang ketutupan kelam kabut; maka Roh Allah berlayang-layang di atas muka air itu."
3,Kejadian,1,1,3,"Maka firman Allah: Hendaklah ada terang. Lalu terangpun jadilah."
4,Kejadian,1,1,4,"Maka dilihat Allah akan terang itu baiklah adanya, lalu diceraikan Allah terang itu dengan gelap."
5,Kejadian,1,1,5,"Maka dinamai Allah akan terang itu siang dan akan gelap itu malam. Setelah petang dan pagi, maka itulah hari yang pertama."
6,Kejadian,1,1,6,"Maka firman Allah: Hendaklah ada suatu bentangan pada sama tengah air itu, supaya diceraikannya air dengan air."
7,Kejadian,1,1,7,"Maka dijadikan Allah akan bentangan itu serta diceraikannyalah air yang di bawah bentangan itu dengan air yang di atas bentangan; maka jadilah demikian."
8,Kejadian,1,1,8,"Lalu dinamai Allah akan bentangan itu langit. Setelah petang dan pagi, maka itulah hari yang kedua."
9,Kejadian,1,1,9,"Maka firman Allah: Hendaklah segala air yang di bawah langit itu berhimpun kepada satu tempat, supaya kelihatan yang kekeringan itu; maka jadilah demikian."
10,Kejadian,1,1,10,"Lalu dinamai Allah akan yang kekeringan itu darat, dan akan perhimpunan segala air itu dinamainya laut; maka dilihat Allah itu baiklah adanya."
11,Kejadian,1,1,11,"Maka firman Allah: Hendaklah bumi itu menumbuhkan rumput dan pokok yang berbiji dan pohon yang berbuah-buah dengan tabiatnya, yang berbiji dalamnya di atas bumi itu; maka jadilah demikian,"
12,Kejadian,1,1,12,"yaitu ditumbuhkan bumi akan rumput dan pokok yang berbiji dengan tabiatnya dan pohon-pohon yang berbuah-buah, yang berbiji dalamnya dengan tabiatnya; maka dilihat Allah itu baiklah adanya."
13,Kejadian,1,1,13,"Setelah petang dan pagi, maka itulah hari yang ketiga."
14,Kejadian,1,1,14,"Maka firman Allah; Hendaklah ada beberapa benda terang dalam bentangan langit, supaya diceraikannya siang dengan malam dan menjadi tanda dan ketentuan masa dan hari dan tahun,"
15,Kejadian,1,1,15,"dan supaya ia itu menjadi benda terang pada bentangan langit akan menerangkan bumi; maka jadilah demikian."
16,Kejadian,1,1,16,"Maka dijadikan Allah akan kedua benda terang yang besar itu, yaitu terang yang besar itu akan memerintahkan siang dan terang yang kecil itu akan memerintahkan malam, dan lagi segala bintangpun."
17,Kejadian,1,1,17,"Maka ditaruh Allah akan dia dalam bentangan langit akan memberi terang di atas bumi,"
18,Kejadian,1,1,18,"dan akan memerintahkan siang dan malam, dan akan menceraikan terang itu dengan gelap; maka dilihat Allah itu baiklah adanya."
19,Kejadian,1,1,19,"Setelah petang dan pagi, maka itulah hari yang keempat."
20,Kejadian,1,1,20,"Maka firman Allah: Hendaklah dalam segala air itu menggeriak beberapa kejadian yang bernyawa dan yang sulur-menyulur, dan hendaklah ada unggas terbang di atas bumi, dalam bentangan langit."
21,Kejadian,1,1,21,"Maka dijadikan Allah akan ikan raya yang besar-besar dan segala binatang sulur-menyulur, yang menggeriak dalam air itu tiap-tiap dengan tabiatnya, dan segala unggas yang bersayap dengan tabiatnya; maka dilihat Allah itu baiklah adanya."
22,Kejadian,1,1,22,"Maka diberkati Allah akan dia, firman-Nya: Jadilah biak dan bertambah-tambahlah kamu dan ramaikanlah air yang di dalam laut itu dan hendaklah segala unggas itupun bertambah-tambah di atas bumi."
23,Kejadian,1,1,23,"Setelah petang dan pagi, maka itulah hari yang kelima."
24,Kejadian,1,1,24,"Maka firman Allah: Hendaklah bumi itu mengeluarkan kejadian yang hidup dengan tabiatnya, yaitu dari pada binatang yang jinak dan yang menjalar dan yang liar, tiap-tiap dengan tabiatnya; maka jadilah demikian."
25,Kejadian,1,1,25,"Maka dijadikan Allah akan segala binatang yang liar di atas bumi itu dengan tabiatnya, dan segala binatang yang jinakpun dengan tabiatnya, dan segala binatang yang menjalar di atas bumipun dengan tabiatnya; maka dilihat Allah itu baiklah adanya."
26,Kejadian,1,1,26,"Maka firman Allah: Baiklah Kita menjadikan manusia atas peta dan atas teladan Kita, supaya diperintahkannya segala ikan yang di dalam laut dan segala unggas yang di udara dan segala binatang yang jinak dan seisi bumi dan segala binatang pelata yang menjalar di tanah."
27,Kejadian,1,1,27,"Maka dijadikan Allah akan manusia itu atas petanya, yaitu atas peta Allah dijadikannya ia, maka dijadikannya mereka itu laki-laki dan perempuan."
28,Kejadian,1,1,28,"Maka diberkati Allah akan keduanya serta firman-Nya kepadanya: Berbiaklah, dan bertambah-tambahlah kamu, dan penuhilah olehmu akan bumi itu dan taklukkanlah dia, dan perintahkanlah segala ikan yang di dalam laut dan segala unggas yang di udara dan segala binatang yang menjalar di atas bumi."
29,Kejadian,1,1,29,"Lagi firman Allah: Bahwa sesungguhnya Aku telah memberikan kamu segala tumbuh-tumbuhan yang berbiji-biji di atas seluruh muka bumi dan segala pohon yang berbuah dengan berbiji itu akan makananmu,"
30,Kejadian,1,1,30,"tetapi akan segala binatang liar yang di bumi dan segala unggas yang di udara dan segala binatang yang menjalar di atas bumi, yang ada nyawa hidup dalamnya, maka Aku mengaruniakan segala tumbuh-tumbuhan yang hijau akan makanannya; maka jadilah demikian."
31,Kejadian,1,1,31,"Maka dilihat Allah akan tiap-tiap sesuatu yang dijadikan-Nya itu, sesungguhnya amat baiklah adanya. Setelah petang dan pagi, maka itulah hari yang keenam."
32,Kejadian,1,2,1,"Demikianlah sudah dijadikan langit dan bumi serta dengan segala isinya."
33,Kejadian,1,2,2,"Maka pada hari yang ketujuh setelah sudah disampaikan Allah pekerjaan-Nya, yang telah diperbuat-Nya itu, maka berhentilah Ia pada hari yang ketujuh itu dari pada pekerjaan-Nya, yang telah diperbuat-Nya."
34,Kejadian,1,2,3,"Maka diberkati Allah akan hari yang ketujuh itu serta disucikannya, karena dalamnya telah Ia berhenti dari pada pekerjaan-Nya, yang telah diperbuat-Nya, akan menyempurnakan dia."
35,Kejadian,1,2,4,"Maka demikianlah asalnya langit dan bumi pada masa ia itu dijadikan, tatkala diperbuat Tuhan Allah akan langit dan bumi:"
36,Kejadian,1,2,5,"pada masa itulah belum ada tumbuh-tumbuhan di atas bumi dan tiada pokok bertunas di padang, karena belum lagi diturunkan Tuhan Allah hujan kepada bumi dan belum ada orang akan membelakan tanah itu;"
37,Kejadian,1,2,6,"melainkan naiklah uap dari bumi serta membasahkan segala tanah itu."
38,Kejadian,1,2,7,"Maka dirupakan Tuhan Allah akan manusia itu dari pada lebu tanah dihembuskan-Nya nafas hidup ke lubang hidungnya; demikianlah manusia itu menjadi suatu nyawa yang hidup adanya."
39,Kejadian,1,2,8,"Maka diperbuat Tuhan Allah pula suatu taman dalam Eden, di sebelah timur, maka di sanalah ditaruh-Nya akan manusia, yang telah dirupakan-Nya itu."
